"filename", "language", "Markdown", "Properties", "Groovy", "XML", "Java", "CSS", "HTML", "Batch", "JSON", "comment", "blank", "total"
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\app\src\main\res\drawable-v24\ic_launcher_foreground.xml", "XML", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 30
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\app\src\main\res\drawable\ic_launcher_background.xml", "XML", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 1, 75
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\app\src\main\res\layout\activity_main.xml", "XML", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\app\src\main\res\mipmap-anydpi-v26\notifictaion_icon.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\app\src\main\res\mipmap-anydpi-v26\notifictaion_icon_round.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\app\src\main\res\values-night\themes.xml", "XML", 0, 0, 0, 11, 0, 0, 0, 0, 0, 5, 0, 16
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\app\src\main\res\values\notifictaion_icon_background.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\app\src\main\res\values\themes.xml", "XML", 0, 0, 0, 11, 0, 0, 0, 0, 0, 5, 0, 16
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\app\src\test\java\com\arshsaxena\github\io\ExampleUnitTest.java", "Java", 0, 0, 0, 0, 9, 0, 0, 0, 0, 5, 3, 17
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\build.gradle", "Groovy", 0, 0, 19, 0, 0, 0, 0, 0, 0, 3, 3, 25
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\gradle.properties", "Properties", 0, 3, 0, 0, 0, 0, 0, 0, 0, 16, 0, 19
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\gradlew.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 24, 85
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\settings.gradle", "Groovy", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"Total", "-", 11, 8, 58, 278, 155, 67, 24, 61, 57, 47, 86, 852
