"filename", "language", "Groovy", "Properties", "JSON", "XML", "Batch", "JavaScript", "Markdown", "HTML", "CSS", "Java", "comment", "blank", "total"
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\.idea\compiler.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\.idea\gradle.xml", "XML", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 23
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\.idea\jarRepositories.xml", "XML", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 25
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\.idea\misc.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\app\build.gradle", "Groovy", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 51
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\app\google-services.json", "JSON", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\app\release\output-metadata.json", "JSON", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\app\src\androidTest\java\com\arshsaxena\github\io\ExampleInstrumentedTest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 6, 5, 26
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 2, 40
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\app\src\main\assets\404.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 2, 32
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\app\src\main\assets\fonts\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 8, 17
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\app\src\main\assets\global-fonts.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 37
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\app\src\main\assets\main.js", "JavaScript", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 5, 33
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\app\src\main\assets\noNetwork.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 2, 33
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\app\src\main\assets\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 35
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\app\src\main\java\com\arshsaxena\github\io\MainActivity.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 0, 14, 129
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\app\src\main\java\com\arshsaxena\github\io\MyFireBaseInstanceIDService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 6, 18
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\app\src\main\java\com\arshsaxena\github\io\MyFirebaseMessagingService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 1, 8, 41
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\app\src\main\res\drawable-v24\ic_launcher_foreground.xml", "XML", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 30
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\app\src\main\res\drawable\ic_launcher_background.xml", "XML", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 1, 75
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\app\src\main\res\layout\activity_main.xml", "XML", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\app\src\main\res\values-night\themes.xml", "XML", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 5, 0, 16
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\app\src\main\res\values\ic_launcher_background.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\app\src\main\res\values\notifictaion_icon_background.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\ArshSaxena\app\src\main\res\values\themes.xml", "XML", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 5, 0, 16
